personwd	Harry_Marshall_Ward	Q727999
personwd	Robert_H._Waterman_Jr.	Q7345128
personwd	Juan_Fernández_(explorer)	Q960988
personwd	Gene_Forrell	Q5531215
personwd	Abbé_de_Coulmier	Q3086174
personwd	Lawrence_A._Hyland	Q1809111
personwd	J._Elmer_Spyglass	Q6105598
personwd	Victor_Civita	Q524024
personwd	Steven_T._Byington	Q5591211
personwd	George_Harris_(theologian)	Q5540267
personwd	William_Aikman_(writer)	Q8004198
personwd	Eva_Figes	Q216098
personwd	Thomas_Bock	Q7787722
personwd	Giacomo_Manzù	Q505010
personwd	Samuel_Bemis	Q7410903
personwd	Zoé_Talon_du_Cayla	Q227101
personwd	Thomas_Pope	Q7793209
personwd	Davis_Rich_Dewey	Q5241956
personwd	Sarah_Stickney_Ellis	Q7422803
personwd	Léonard_Limosin	Q1879480
personwd	Georg_Wolfgang_Franz_Panzer	Q65451
personwd	Diane_McWhorter	Q5271526
personwd	Archibald_Campbell,_1st_Baron_Blythswood	Q4786242
personwd	Henry_Luttrell_(wit)	Q5725199
personwd	Peter_Parker_(physician)	Q344417
personwd	Aleksander_Józef_Lisowski	Q2471132
personwd	Raffaele_Sacco	Q3929164
personwd	Maurice_Viollette	Q3301513
personwd	Jean_Delumeau	Q767691
personwd	Charles_Alphonse_du_Fresnoy	Q1063557
personwd	Maria_Sibylla_Merian	Q62530
personwd	Rupert_Alfred_Kettle	Q7380242
personwd	John_Yealland	Q6265129
personwd	Ashok_Gadgil	Q4805732
personwd	Lotti_van_der_Gaag	Q2843600
personwd	Gareth_Jones_(actor)	Q1568421
personwd	Jonathan_Dickinson	Q6272947
personwd	Sarah_Hall_Boardman	Q7422362
personwd	Eliza_Daniel_Stewart	Q5362121
personwd	Ada_Leverson	Q273170
personwd	John_Tootoosis	Q15499823
personwd	Pablo_Manlapit	Q7121675
personwd	Christer_Dahl	Q5109186
personwd	Antony_Burgmans	Q4777197
personwd	Severn_Teackle_Wallis	Q4778733
personwd	Hugh_Henry_Brackenridge	Q973734
personwd	Carlo_Ridolfi	Q776990
personwd	Georges_de_Feure	Q1921617
personwd	Jacques_Gervais,_baron_Subervie	Q3157954
personwd	Lixion_Avila	Q6659951
personwd	Frederic_de_Forest_Allen	Q5497179
personwd	George_Parker_Winship	Q5543200
personwd	Alexander_Q._Holladay	Q4719894
personwd	John_Gennings	Q6235068
personwd	Román_Rodríguez_(politician)	Q1367126
personwd	Ephraim_Emerton	Q5382264
personwd	Eduard_Vojan	Q5340486
personwd	Richard_Gottheil	Q372586
personwd	Francis_Ellingwood_Abbot	Q3513783
personwd	Espen_Eckbo	Q5398817
personwd	Fielding_Lucas_Jr.	Q1411601
personwd	Kathryn_Gustafson	Q3194099
personwd	Frances_Ann_Tasker_Carter	Q16207463
personwd	George_London_(landscape_architect)	Q4582530
personwd	Gustav_Niemann	Q105429
personwd	Jane_Arraf	Q6151123
